Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
114. Y2K,2024,1h 31m,R,4.8,10K,49.0,Two high school nobodies make the decision to crash the last major celebration before the new millennium on New Year's Eve 1999. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.,https://www.imdb.com/title/tt27218960/?ref_=sr_i_114,"['Kyle Mooney', 'Evan Winter']",['Kyle Mooney'],"['Jaeden Martell', 'Rachel Zegler', 'Julian Dennison', 'Daniel Zolghadri', 'Lachlan Watson', 'Fred Durst', 'Kyle Mooney', 'Eduardo Franco', 'Mason Gooding', 'The Kid Laroi']","$15,000,000 (estimated)","$2,113,923","$4,446,596","$4,446,596","December 6, 2024","['United States', 'New Zealand']","['Ringwood, New Jersey, USA (Fieldstone Plaza, Skyline Drive)']","['A24', 'American Light & Fixture', 'New Zealand Film Commission']","Awards, 1 nomination total","['Artificial Intelligence', 'Teen Comedy', 'Teen Horror', 'Comedy', 'Horror', 'Sci-Fi']",['English']
115. In a Violent Nature,2024,1h 34m,Not Rated,5.6,25K,68.0,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it.",https://www.imdb.com/title/tt30321146/?ref_=sr_i_115,['Chris Nash'],['Chris Nash'],"['Ry Barrett', 'Andrea Pavlovic', 'Cameron Love', 'Reece Presley', 'Liam Leone', 'Charlotte Creaghan', 'Lea Rose Sebastianis', 'Sam Roulston', 'Alexander Oliver', 'Timothy Paul McCarthy']",,"$2,155,346","$4,561,656","$4,229,999","June 28, 2024",['Canada'],"['Kawartha Lakes, Ontario, Canada (set locations)']","['Zygote Pictures', 'Low Sky Productions']","Awards, 1 win & 5 nominations total","['Slasher Horror', 'Teen Horror', 'Drama', 'Horror', 'Thriller']",['English']
116. For King + Country: A Drummer Boy Christmas - Live,2024,1h 30m,,8.1,168,,"Featuring holiday classics like ""Little Drummer Boy"" and original songs, it retells the Nativity story with themes of hope, love, and redemption in a stunning live performance.",https://www.imdb.com/title/tt34422601/?ref_=sr_i_116,"['Joel David Smallbone', 'Luke Smallbone', 'Gabe Baker']","['Joel David Smallbone', 'Kadin Tooley']","['Joel David Smallbone', 'Luke Smallbone', 'Gabe Baker', 'Vincent DiCarlo', 'Chris Karabelas', 'Danny Lopez', 'Garrett P. Tyler', 'Hannah Tyler']",,"$2,263,645","$4,358,958","$4,227,406","December 12, 2024",['United States'],"['Houston, Texas, USA (Toyota Center)']","['A. Walshworks', 'Curb Records', 'Sony Pictures Post Production']",,['Music'],['English']
117. The Apprentice,2024,2h 2m,R,7.1,51K,64.0,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",https://www.imdb.com/title/tt8368368/?ref_=sr_i_117,['Gabriel Sherman'],['Ali Abbasi'],"['Sebastian Stan', 'Jeremy Strong', 'Martin Donovan', 'Maria Bakalova', 'Catherine McNally', 'Charlie Carrick', 'Ben Sullivan', 'Mark Rendall', 'Joe Pingue', 'Ron Lea']","$15,000,000 (estimated)","$1,613,233","$17,289,506","$4,001,904","October 11, 2024","['Canada', 'Denmark', 'Ireland', 'United States']","['Toronto, Ontario, Canada (location)']","['Scythia Films', 'Gidden Media', 'Rocket Science']","Nominated for 2 Oscars, 4 wins & 44 nominations total","['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']","['English', 'Hebrew']"
118. Babes,2024,1h 44m,R,6.3,6.2K,72.0,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand.",https://www.imdb.com/title/tt21276958/?ref_=sr_i_118,"['Ilana Glazer', 'Josh Rabinowitz']",['Pamela Adlon'],"['Elena Ouspenskaia', 'Sandra Bernhard', 'Oliver Platt', 'John Carroll Lynch', 'Ilana Glazer', 'Michelle Buteau', 'Hasan Minhaj', 'Stephan James', 'Caleb Mermelstein-Knox', 'Keith Lucas']",,"$163,130","$3,898,742","$3,800,038","May 17, 2024",['United States'],,"['FilmNation Entertainment', 'Range Media Partners', 'Starrpix']","Awards, 4 nominations total","['Buddy Comedy', 'Comedy']",['English']
119. Queer,2024,2h 17m,R,6.5,18K,72.0,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",https://www.imdb.com/title/tt24176060/?ref_=sr_i_119,"['William S. Burroughs', 'Justin Kuritzkes']",['Luca Guadagnino'],"['Daniel Craig', 'Daan de Wit', 'Jason Schwartzman', 'Henrique Zaga', 'Colin Bates', 'Drew Starkey', 'Simon Rizzoni', 'Drew Droege', 'Ariel Schulman', 'Andra Ursuta']",,"$200,951","$5,437,433","$3,736,813","March 29, 2025","['Italy', 'United States']","['Cinecittà Studios, Rome, Italy']","['The Apartment', 'Frenesy Film Company', 'FremantleMedia North America']","Awards, 4 wins & 58 nominations total","['Period Drama', 'Biography', 'Drama', 'History', 'Romance']","['English', 'Spanish', 'French']"
120. Solo Leveling: ReAwakening,2024,2h 1m,R,8.8,8.9K,,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate.",https://www.imdb.com/title/tt33428606/?ref_=sr_i_120,['Chugong'],['Shunsuke Nakashige'],"['Taito Ban', 'Geoff Bisente', 'Drew Breedlove', 'Seth Fuentes', 'Aleks Le', 'Reina Ueda', 'Rebecca Wang']",,"$2,452,895","$6,331,827","$3,350,693","December 6, 2024","['South Korea', 'Japan']",,['Aniplex'],,"['Action Epic', 'Anime', 'Dark Fantasy', 'One-Person Army Action', 'Supernatural Fantasy', 'Survival', 'Action', 'Adventure', 'Animation', 'Fantasy']",['Japanese']
121. God's Not Dead: In God We Trust,2024,1h 36m,Not Rated,3.4,1.2K,,"Amid political and spiritual turmoil, Reverend David Hill steps up to run for Congress. Opponent Peter Kane, aims to erase religion from policy, and the fight becomes a beacon of hope for people seeking moral leadership in a divided world.",https://www.imdb.com/title/tt32356994/?ref_=sr_i_121,['Tommy Blaze'],['Vance Null'],"['David A.R. White', 'Dean Cain', 'Samaire Armstrong', 'Charlene Tilton', 'Scott Baio', 'Brad Heller', 'Paul Kwo', 'Mike Huckabee', 'Newsboys', 'Michael Tait']",,"$1,503,593","$3,269,322","$3,269,322","September 12, 2024",['United States'],,"['Pinnacle Peak Pictures', 'Canyon Productions']",,['Drama'],['English']
122. 2024 Oscar Nominated Short Films: Documentary,2024,2h 13m,,7.7,21,,,https://www.imdb.com/title/tt31272312/?ref_=sr_i_122,[],[],,,"$845,202","$3,162,293","$3,162,293","February 16, 2024",['United States'],,['ShortsTV'],,[],['English']
123. The Front Room,2024,1h 34m,R,4.6,5.2K,49.0,"It tells the story of a newly pregnant couple who are forced to take in an ailing, estranged stepmother.",https://www.imdb.com/title/tt21905744/?ref_=sr_i_123,"['Susan Hill', 'Max Eggers', 'Sam Eggers']","['Max Eggers', 'Sam Eggers']","['Brandy Norwood', 'Andrew Burnap', 'Kathryn Hunter', 'Neal Huff', 'David Manis', 'Mary Catherine Wright', 'Ellen J. Maddow', 'Mary Testa', 'Morgen McKynzie', 'Kerry Flanagan']",,"$1,585,440","$3,165,361","$3,092,269","September 6, 2024",['United States'],"['Florham Park, New Jersey, USA']","['Two & Two Pictures', '2AM', 'A24']",,"['Horror', 'Thriller']",['English']
124. Jesus Thirsts: The Miracle of the Eucharist,2024,1h 30m,Not Rated,7.5,69,,"Jesus Thirsts explores the Real Presence of Christ in the Eucharist through biblical origins, expert insights, and personal testimonies, revealing the Eucharist's transformative power for those who believe.",https://www.imdb.com/title/tt31529048/?ref_=sr_i_124,"['Tim Moriarty', 'Stefan Slovak']",['Tim Moriarty'],"['James M. Wahlberg', 'Eduardo Verástegui', 'Scott Hahn', 'Chris Stefanick', 'Donald H. Calloway', 'Chris Alar', 'Deacon Steve Greco', 'Briege McKenna', 'Andrew Cozzens', 'Oscar Delgado']",,,"$2,927,121","$2,927,121","February 4, 2025",['United States'],,['Castletown Media'],,['Documentary'],['English']
125. Attack on Titan the Movie: The Last Attack,2024,2h 25m,,9.2,14K,,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",https://www.imdb.com/title/tt33175825/?ref_=sr_i_125,['Hajime Isayama'],['Yûichirô Hayashi'],"['Ahnaf', 'Natsuki Hanae', 'Yoshimasa Hosoya', 'Marina Inoue', 'Yui Ishikawa', 'Yûki Kaji', 'Hiroshi Kamiya', 'Takehito Koyasu', 'Shiori Mikami', 'Manami Numakura']",,"$170,239","$17,111,415","$2,890,192","November 8, 2024",['Japan'],,['Mappa'],,"['Action Epic', 'Adventure Epic', 'Anime', 'Shōnen', 'Action', 'Adventure', 'Animation', 'Drama']",['Japanese']
126. Nickel Boys,2024,2h 20m,PG-13,7.0,17K,91.0,"Based on the Pulitzer Prize-winning novel by Colson Whitehead, ""Nickel Boys"" chronicles the powerful friendship between two young African-American men navigating the harrowing trials of reform school together in Florida.",https://www.imdb.com/title/tt23055660/?ref_=sr_i_126,"['RaMell Ross', 'Joslyn Barnes', 'Colson Whitehead']",['RaMell Ross'],"['Ethan Herisse', 'Brandon Wilson', 'Aunjanue Ellis-Taylor', 'Ethan Cole Sharp', 'Sam Malone', 'Najah Bradley', 'Jase Stidwell', 'Legacy Jones', 'Jimmie Fails', ""Ky'druis Follins""]","$20,000,000 (estimated)","$54,794","$3,016,380","$2,858,346","February 28, 2025",['United States'],"['103 Maronge St, Thibodaux, LA, USA']","['Orion Pictures', 'Plan B Entertainment', 'Louverture Films']","Nominated for 2 Oscars, 52 wins & 192 nominations total",['Drama'],['English']
127. The Fabulous Four,2024,1h 38m,R,4.8,1.5K,44.0,It tells the story of two friends who travel to be bridesmaids in a surprise wedding of their college girlfriend.,https://www.imdb.com/title/tt20215816/?ref_=sr_i_127,"['Ann Marie Allison', 'Jenna Milly']",['Jocelyn Moorhouse'],"['Susan Sarandon', 'Bette Midler', 'Megan Mullally', 'Sheryl Lee Ralph', 'Sophie von Haselberg', 'Deja Dee', 'Michael Bolton', 'Brandee Evans', 'Kaden Taylor', 'Avangeline Friedlander']",,"$1,042,021","$3,530,936","$2,854,291","July 26, 2024",['United States'],,"['Southpaw Entertainment (I)', 'Bronte Pictures', 'Gramercy Park Media']",,['Comedy'],['English']
128. My Penguin Friend,2024,1h 37m,PG,6.7,4.8K,70.0,"Inspired by a true story; an enchanting adventure about a lost penguin rescued from an oil spill, who transforms the life of a heartbroken fisherman. They soon become unlikely friends, so bonded that even the vast ocean cannot divide them.",https://www.imdb.com/title/tt8609660/?ref_=sr_i_128,"['Kristen Lazarian', 'Paulina Lagudi Ulrich']",['David Schurmann'],"['Jean Reno', 'Adriana Barraza', 'Alexia Moyano', 'Nicolás Francella', 'Rochi Hernández', 'Pedro Urizzi', 'Amanda Magalhães', 'Juan José Garnica', 'Duda Galvão', 'Thalma de Freitas']","$9,704,200 (estimated)","$1,033,435","$5,070,718","$2,769,460","August 16, 2024","['Brazil', 'United States', 'Spain']","['Ubatuba, São Paulo, Brazil']","['City Hill Arts', 'Content Studios', 'Schurmann Filmes']","Awards, 1 win & 2 nominations total","['Adventure', 'Drama', 'Family']",['English']
129. Absolution,2024,1h 52m,R,5.2,7.5K,51.0,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly.",https://www.imdb.com/title/tt8337290/?ref_=sr_i_129,['Tony Gayton'],['Hans Petter Moland'],"['Liam Neeson', 'Daniel Diemer', 'Javier Molina', 'Jimmy Gonzales', 'Ron Perlman', 'Brian A. White', 'William Xifaras', 'John Duddy', 'Ryan Caraway', 'Yolonda Ross']","$30,000,000 (estimated)","$1,381,692","$3,996,104","$2,716,343","November 1, 2024",['United States'],"['Boston, Massachusetts, USA']","['Samuel Goldwyn Films', 'Sculptor Media', 'Electromagnetic Productions']",,"['Gangster', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
130. GHOST: Rite Here Rite Now,2024,2h 25m,,8.6,1.9K,,Combining live performance from Ghost's sold-out Kia Forum shows in LA with a narrative story that picks up plot threads from the band's long-running webisode series.,https://www.imdb.com/title/tt32260498/?ref_=sr_i_130,['Tobias Forge'],"['Tobias Forge', 'Alex Ross Perry']","['Maralyn Facey', 'Alan Ursillo', 'Justin Andrews', 'Liz Fenning', 'Sharlotte Gibson', 'Vanessa Nichole']",,"$1,521,550","$4,772,954","$2,647,702","June 20, 2024",['United States'],"['3900 W Manchester Blvd, Inglewood, California, USA (Kia Forum)']","['Loma Vista Recordings', 'Popecorn Cinematic Pictures', 'Fortress Entertainment Group']",,['Music'],['English']
131. Sight & Sound Presents: Daniel LIVE,2024,,,8.9,23,,"Daniel, exiled to Babylon, navigates life in palace amid idolatry. Pressured to compromise faith, he faces fiery furnace and lion's den, trusting God through tests of faith.",https://www.imdb.com/title/tt33264824/?ref_=sr_i_131,[],['Jeff Bender'],,,"$1,979,305","$2,629,933","$2,629,933","August 30, 2024",['United States'],,['Sight & Sound Theatres'],,['Musical'],['English']
"132. Hello, Love, Again",2024,2h 2m,,6.8,796,,"After fighting for their love to conquer the time, distance and a global shutdown that kept them apart, Joy and Ethan meet again in Canada but realize that they have also changed a lot, individually.",https://www.imdb.com/title/tt32401874/?ref_=sr_i_132,"['Carmi Raymundo', 'Crystal S. San Miguel', 'Olivia M. Lamasan']",['Cathy Garcia-Sampana'],"['Kathryn Bernardo', 'Alden Richards', 'Joross Gamboa', 'Valerie Concepcion', 'Jennica Garcia', 'Ruby Rodriguez', 'Jobert Austria', 'Mark Labella', 'Marvin Aritrangco', 'Wendy Froberg']",,"$2,326,000","$22,881,613","$2,625,000","November 15, 2024",['Philippines'],['Canada'],"['ABS-CBN Studios', 'GMA Pictures', 'Star Cinema']",,"['Drama', 'Romance']","['Tagalog', 'Filipino', 'English']"
133. Escape from Germany,2024,1h 37m,PG,5.3,915,,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history.",https://www.imdb.com/title/tt28172032/?ref_=sr_i_133,"['T.C. Christensen', 'Terry Bohle Montague']",['T.C. Christensen'],"['Paul Wuthrich', 'David McConnell', 'Sebastian Barr', 'Landon Henneman', 'Henning Fischer', 'Whitney Palmer', 'Scarlett Hazen', 'Deveney Reber', 'Kevin Kirschenmann', 'Brad Witbeck']",,"$168,019","$2,616,475","$2,616,475","August 2, 2024",['United States'],"['Budapest, Hungary']",['Remember Films'],,"['Docudrama', 'Period Drama', 'Drama', 'History', 'War']",['English']
134. Jung Kook: I Am Still,2024,1h 30m,,8.2,7.5K,,"Jung Kook invites viewers on a journey showcasing his rise to stardom, creative process, work ethic, and challenges as a global icon, with unseen footage, interviews, and electrifying performances.",https://www.imdb.com/title/tt32903026/?ref_=sr_i_134,['Jungkook'],['Park Jun-soo'],['Jungkook'],,"$1,425,748","$10,763,217","$2,574,318","September 18, 2024",['South Korea'],,['HYBE'],,"['Music Documentary', 'Documentary', 'Music']",['Korean']
135. Stree 2: Sarkate Ka Aatank,2024,2h 27m,,6.9,41K,,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.",https://www.imdb.com/title/tt27510174/?ref_=sr_i_135,"['Niren Bhatt', 'Krishna D.K.', 'Raj Nidimoru']",['Amar Kaushik'],"['Rajkummar Rao', 'Shraddha Kapoor', 'Pankaj Tripathi', 'Abhishek Banerjee', 'Aparshakti Khurana', 'Atul Srivastava', 'Tamannaah Bhatia', 'Varun Dhawan', 'Akshay Kumar', 'Anya Singh']",,"$2,570,000","$7,387,498","$2,570,000","August 16, 2024",['India'],,"['Maddock Films', 'Jio Studios']","Awards, 10 wins & 19 nominations total","['Comedy', 'Horror']",['Hindi']
136. The Blue Angels,2024,1h 33m,G,7.3,2.7K,66.0,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.,https://www.imdb.com/title/tt18573650/?ref_=sr_i_136,"['Chris Kapuschansky', 'Brian Kesselring', 'Monica Borza']",['Paul Crowder'],"['Chris Kapuschansky', 'Brian Kesselring', 'Monica Borza', 'Scott Goossens', 'Frank Zastoupil', 'Lance Benson', 'Greg Wooldridge', 'Julius Bratton', 'Cary Rickoff', 'Jon Fay']",,"$1,404,820","$2,613,398","$2,560,945","May 23, 2024",['United States'],"['Pensacola, Florida, USA']","['Zipper Bros Films', 'Bad Robot', 'IMAX']","Awards, 1 win & 4 nominations total",['Documentary'],['English']
137. The Room Next Door,2024,1h 47m,PG-13,6.8,18K,70.0,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",https://www.imdb.com/title/tt29439114/?ref_=sr_i_137,"['Pedro Almodóvar', 'Sigrid Nunez']",['Pedro Almodóvar'],"['Julianne Moore', 'Tilda Swinton', 'John Turturro', 'Alessandro Nivola', 'Juan Diego Botto', 'Raúl Arévalo', 'Victoria Luengo', 'Alex Høgh Andersen', 'Esther McGregor', 'Alvise Rigo']",,"$105,013","$16,471,000","$2,509,821","October 18, 2024","['Spain', 'United States', 'France']","['Echo Lake Park, Cranford, New Jersey, USA']","['Crea SGR', 'El Deseo', 'Instituto de Crédito Oficial (ICO)']","Awards, 13 wins & 34 nominations total","['Psychological Drama', 'Drama']",['English']
138. September 5,2024,1h 35m,R,7.1,21K,76.0,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",https://www.imdb.com/title/tt28082769/?ref_=sr_i_138,"['Moritz Binder', 'Tim Fehlbaum', 'Alex David']",['Tim Fehlbaum'],"['Peter Sarsgaard', 'John Magaro', 'Ben Chaplin', 'Leonie Benesch', 'Zinedine Soualem', 'Georgina Rich', 'Corey Johnson', 'Marcus Rutherford', 'Daniel Adeosun', 'Benjamin Walker']",,"$80,802","$8,041,940","$2,508,723","January 17, 2025","['Germany', 'United States']","['Munich, Bavaria, Germany']","['BerghausWöbke Filmproduktion', 'Projected Picture Works', 'Constantin Film']","Nominated for 1 Oscar, 14 wins & 29 nominations total","['Docudrama', 'Period Drama', 'Tragedy', 'Drama', 'History', 'Thriller']","['English', 'German', 'Hebrew']"
